,job,education,contact
1940,student,secondary,cellular
1941,housemaid,primary,unknown
1942,management,tertiary,cellular
1943,admin.,secondary,unknown
1944,blue-collar,secondary,cellular
1945,blue-collar,secondary,cellular
1946,services,secondary,cellular
1947,unemployed,secondary,cellular
1948,technician,tertiary,unknown
1949,retired,tertiary,telephone
1950,services,primary,cellular
1951,entrepreneur,tertiary,cellular
1952,admin.,secondary,telephone
1953,admin.,tertiary,cellular
1954,retired,primary,unknown
1955,management,tertiary,unknown
1956,retired,primary,telephone
1957,technician,tertiary,unknown
1958,management,secondary,cellular
1959,blue-collar,secondary,unknown
1960,blue-collar,primary,unknown
1961,blue-collar,primary,unknown
1962,unemployed,tertiary,cellular
1963,management,tertiary,cellular
1964,blue-collar,primary,cellular
1965,management,tertiary,cellular
1966,blue-collar,primary,cellular
1967,blue-collar,secondary,cellular
1968,management,tertiary,cellular
1969,management,tertiary,cellular
1970,technician,secondary,cellular
1971,management,secondary,unknown
1972,technician,secondary,unknown
1973,blue-collar,unknown,unknown
1974,technician,secondary,cellular
1975,admin.,secondary,cellular
1976,blue-collar,secondary,cellular
1977,management,tertiary,cellular
1978,blue-collar,unknown,telephone
1979,unemployed,secondary,unknown
1980,admin.,unknown,cellular
1981,self-employed,tertiary,cellular
1982,blue-collar,primary,unknown
1983,technician,secondary,cellular
1984,blue-collar,primary,unknown
1985,student,unknown,cellular
1986,management,tertiary,unknown
1987,services,secondary,cellular
1988,admin.,secondary,cellular
1989,blue-collar,secondary,cellular
1990,admin.,secondary,unknown
1991,entrepreneur,tertiary,cellular
1992,admin.,secondary,cellular
1993,management,unknown,cellular
1994,management,primary,cellular
1995,admin.,secondary,cellular
1996,management,tertiary,cellular
1997,blue-collar,secondary,unknown
1998,services,secondary,cellular
1999,blue-collar,secondary,cellular
2000,blue-collar,primary,cellular
2001,blue-collar,primary,unknown
2002,admin.,tertiary,cellular
2003,admin.,secondary,cellular
2004,blue-collar,secondary,cellular
2005,unemployed,secondary,cellular
2006,blue-collar,primary,unknown
2007,technician,secondary,unknown
2008,technician,secondary,unknown
2009,blue-collar,primary,unknown
2010,management,tertiary,cellular
2011,blue-collar,primary,unknown
2012,management,tertiary,cellular
2013,blue-collar,secondary,cellular
2014,retired,secondary,cellular
2015,management,tertiary,cellular
2016,technician,secondary,cellular
2017,technician,tertiary,cellular
2018,management,tertiary,cellular
2019,blue-collar,primary,cellular
2020,blue-collar,secondary,unknown
2021,technician,tertiary,unknown
2022,management,tertiary,cellular
2023,admin.,secondary,cellular
2024,self-employed,tertiary,cellular
2025,management,tertiary,cellular
2026,admin.,secondary,unknown
2027,blue-collar,primary,unknown
2028,entrepreneur,secondary,unknown
2029,management,tertiary,cellular
2030,management,unknown,unknown
2031,management,tertiary,cellular
2032,management,primary,telephone
2033,blue-collar,primary,cellular
2034,technician,secondary,cellular
2035,technician,tertiary,cellular
2036,management,tertiary,cellular
2037,management,tertiary,cellular
2038,blue-collar,secondary,cellular
2039,management,tertiary,cellular
2040,blue-collar,secondary,unknown
2041,retired,primary,cellular
2042,blue-collar,secondary,unknown
2043,unemployed,primary,cellular
2044,management,tertiary,unknown
2045,management,tertiary,telephone
2046,services,secondary,unknown
2047,unknown,tertiary,unknown
2048,management,primary,cellular
2049,technician,primary,cellular
2050,blue-collar,primary,cellular
2051,admin.,secondary,unknown
2052,admin.,secondary,cellular
2053,technician,secondary,unknown
2054,retired,secondary,unknown
2055,technician,secondary,cellular
2056,technician,secondary,cellular
2057,technician,secondary,cellular
2058,management,tertiary,cellular
2059,blue-collar,secondary,unknown
2060,blue-collar,primary,unknown
2061,services,secondary,unknown
2062,blue-collar,unknown,cellular
2063,blue-collar,primary,cellular
2064,management,tertiary,unknown
2065,unemployed,tertiary,cellular
2066,management,tertiary,telephone
2067,housemaid,primary,cellular
2068,technician,secondary,cellular
2069,management,tertiary,cellular
2070,retired,secondary,telephone
2071,services,secondary,cellular
2072,management,tertiary,cellular
2073,blue-collar,secondary,cellular
2074,technician,secondary,cellular
2075,retired,tertiary,cellular
2076,technician,secondary,unknown
2077,management,tertiary,cellular
2078,self-employed,secondary,cellular
2079,management,tertiary,cellular
2080,services,secondary,unknown
2081,unknown,unknown,cellular
2082,blue-collar,primary,cellular
2083,admin.,secondary,unknown
2084,blue-collar,secondary,unknown
2085,blue-collar,secondary,cellular
2086,blue-collar,primary,unknown
2087,student,secondary,cellular
2088,management,tertiary,telephone
2089,management,tertiary,cellular
2090,blue-collar,secondary,unknown
2091,services,secondary,cellular
2092,services,secondary,cellular
2093,technician,secondary,unknown
2094,technician,secondary,cellular
2095,blue-collar,primary,cellular
2096,management,tertiary,telephone
2097,management,tertiary,unknown
2098,retired,secondary,cellular
2099,management,tertiary,cellular
2100,management,tertiary,cellular
2101,technician,secondary,unknown
2102,entrepreneur,tertiary,telephone
2103,services,secondary,unknown
2104,self-employed,tertiary,cellular
2105,entrepreneur,secondary,unknown
2106,entrepreneur,primary,cellular
2107,management,tertiary,cellular
2108,blue-collar,primary,unknown
2109,admin.,secondary,telephone
2110,blue-collar,secondary,cellular
2111,management,tertiary,cellular
2112,admin.,secondary,cellular
2113,admin.,secondary,cellular
2114,management,tertiary,unknown
2115,housemaid,primary,cellular
2116,management,primary,unknown
2117,housemaid,primary,cellular
2118,blue-collar,primary,cellular
2119,unemployed,tertiary,cellular
2120,retired,tertiary,cellular
2121,student,secondary,telephone
2122,unemployed,secondary,cellular
2123,technician,secondary,cellular
2124,management,tertiary,unknown
2125,technician,secondary,cellular
2126,blue-collar,primary,unknown
2127,technician,tertiary,cellular
2128,blue-collar,primary,cellular
2129,admin.,primary,unknown
2130,blue-collar,primary,telephone
2131,housemaid,tertiary,cellular
2132,admin.,secondary,unknown
2133,technician,tertiary,cellular
2134,retired,secondary,cellular
2135,housemaid,tertiary,cellular
2136,management,tertiary,unknown
2137,blue-collar,primary,cellular
2138,technician,secondary,cellular
2139,entrepreneur,tertiary,cellular
2140,housemaid,tertiary,unknown
2141,blue-collar,secondary,cellular
2142,services,secondary,cellular
2143,management,tertiary,cellular
2144,blue-collar,secondary,cellular
2145,unemployed,primary,unknown
2146,self-employed,secondary,cellular
2147,technician,secondary,telephone
2148,management,tertiary,telephone
2149,technician,tertiary,cellular
2150,services,secondary,unknown
2151,blue-collar,primary,cellular
2152,services,secondary,cellular
2153,blue-collar,primary,cellular
2154,blue-collar,secondary,unknown
2155,self-employed,primary,unknown
2156,services,secondary,telephone
2157,retired,secondary,cellular
2158,management,tertiary,cellular
2159,services,secondary,cellular
2160,management,tertiary,cellular
2161,technician,primary,cellular
2162,admin.,secondary,cellular
2163,technician,secondary,cellular
2164,services,secondary,unknown
2165,technician,secondary,unknown
2166,technician,secondary,telephone
2167,blue-collar,primary,cellular
2168,services,secondary,cellular
2169,entrepreneur,secondary,cellular
2170,management,tertiary,unknown
2171,technician,secondary,cellular
2172,blue-collar,primary,unknown
2173,services,unknown,unknown
2174,services,secondary,telephone
2175,management,tertiary,unknown
2176,blue-collar,secondary,cellular
2177,student,secondary,unknown
2178,technician,secondary,cellular
2179,technician,tertiary,cellular
2180,management,secondary,cellular
2181,blue-collar,secondary,cellular
2182,entrepreneur,secondary,cellular
2183,blue-collar,primary,cellular
2184,management,tertiary,cellular
2185,services,secondary,cellular
2186,blue-collar,secondary,unknown
2187,blue-collar,primary,telephone
2188,admin.,secondary,cellular
2189,blue-collar,primary,unknown
2190,technician,tertiary,cellular
2191,management,tertiary,cellular
2192,admin.,secondary,cellular
2193,admin.,unknown,cellular
2194,management,tertiary,cellular
2195,entrepreneur,primary,unknown
2196,management,tertiary,cellular
2197,admin.,secondary,unknown
2198,technician,secondary,cellular
2199,admin.,secondary,cellular
2200,services,secondary,cellular
2201,technician,tertiary,unknown
2202,management,tertiary,unknown
2203,technician,tertiary,cellular
2204,services,secondary,unknown
2205,admin.,secondary,cellular
2206,management,tertiary,cellular
2207,admin.,secondary,unknown
2208,blue-collar,secondary,cellular
2209,retired,secondary,cellular
2210,entrepreneur,tertiary,unknown
2211,management,tertiary,cellular
2212,management,tertiary,cellular
2213,student,secondary,cellular
2214,technician,secondary,unknown
2215,management,unknown,cellular
2216,admin.,secondary,unknown
2217,self-employed,tertiary,unknown
2218,blue-collar,primary,cellular
2219,technician,secondary,cellular
2220,blue-collar,secondary,cellular
2221,management,tertiary,cellular
2222,admin.,secondary,unknown
2223,blue-collar,secondary,unknown
2224,management,tertiary,cellular
2225,self-employed,tertiary,cellular
2226,entrepreneur,tertiary,cellular
2227,management,tertiary,cellular
2228,technician,secondary,cellular
2229,services,secondary,unknown
2230,blue-collar,secondary,cellular
2231,self-employed,tertiary,cellular
2232,technician,secondary,cellular
2233,services,secondary,cellular
2234,technician,secondary,cellular
2235,management,tertiary,cellular
2236,admin.,secondary,unknown
2237,services,secondary,cellular
2238,self-employed,tertiary,cellular
2239,blue-collar,secondary,cellular
2240,technician,secondary,cellular
2241,blue-collar,primary,unknown
2242,admin.,secondary,cellular
2243,services,secondary,unknown
2244,housemaid,tertiary,cellular
2245,technician,secondary,cellular
2246,admin.,secondary,cellular
2247,technician,secondary,unknown
2248,services,secondary,unknown
2249,unemployed,tertiary,cellular
2250,management,tertiary,cellular
2251,management,tertiary,cellular
2252,blue-collar,primary,cellular
2253,housemaid,secondary,cellular
2254,unemployed,tertiary,unknown
2255,management,tertiary,cellular
2256,management,secondary,cellular
2257,blue-collar,secondary,unknown
2258,retired,primary,cellular
2259,management,tertiary,cellular
2260,services,secondary,cellular
2261,technician,secondary,cellular
2262,management,tertiary,cellular
2263,retired,secondary,cellular
2264,management,tertiary,cellular
2265,management,tertiary,unknown
2266,admin.,secondary,cellular
2267,blue-collar,primary,unknown
2268,management,secondary,unknown
2269,services,secondary,unknown
2270,retired,secondary,unknown
2271,management,tertiary,cellular
2272,technician,tertiary,unknown
2273,blue-collar,primary,unknown
2274,admin.,secondary,cellular
2275,management,tertiary,cellular
2276,blue-collar,primary,telephone
2277,technician,secondary,cellular
2278,technician,secondary,cellular
2279,technician,secondary,cellular
2280,management,secondary,unknown
2281,retired,secondary,cellular
2282,blue-collar,primary,unknown
2283,entrepreneur,tertiary,cellular
2284,blue-collar,secondary,unknown
2285,services,secondary,cellular
2286,technician,secondary,cellular
2287,unemployed,tertiary,unknown
2288,technician,secondary,cellular
2289,student,secondary,unknown
2290,entrepreneur,tertiary,cellular
2291,admin.,secondary,unknown
2292,technician,tertiary,cellular
2293,entrepreneur,secondary,cellular
2294,technician,secondary,cellular
2295,services,secondary,unknown
2296,blue-collar,secondary,cellular
2297,technician,tertiary,cellular
2298,entrepreneur,tertiary,unknown
2299,self-employed,tertiary,unknown
2300,technician,secondary,cellular
2301,services,secondary,cellular
2302,technician,secondary,cellular
2303,admin.,unknown,unknown
2304,management,secondary,cellular
2305,services,secondary,unknown
2306,technician,tertiary,cellular
2307,management,tertiary,unknown
2308,management,tertiary,unknown
2309,management,tertiary,cellular
2310,management,tertiary,cellular
2311,management,tertiary,unknown
2312,admin.,secondary,unknown
2313,housemaid,tertiary,cellular
2314,blue-collar,primary,cellular
2315,self-employed,tertiary,unknown
2316,entrepreneur,tertiary,cellular
2317,retired,primary,cellular
2318,admin.,secondary,cellular
2319,management,secondary,cellular
2320,management,tertiary,unknown
2321,services,secondary,unknown
2322,blue-collar,primary,cellular
2323,self-employed,secondary,cellular
2324,blue-collar,secondary,unknown
2325,admin.,secondary,cellular
2326,services,secondary,unknown
2327,admin.,secondary,unknown
2328,blue-collar,secondary,cellular
2329,blue-collar,secondary,cellular
2330,technician,secondary,cellular
2331,technician,tertiary,cellular
2332,management,tertiary,cellular
2333,services,secondary,unknown
2334,management,secondary,unknown
2335,admin.,tertiary,cellular
2336,management,tertiary,cellular
2337,services,tertiary,unknown
2338,unemployed,secondary,cellular
2339,blue-collar,secondary,cellular
2340,admin.,secondary,cellular
2341,management,secondary,cellular
2342,blue-collar,primary,unknown
2343,management,tertiary,cellular
2344,management,tertiary,unknown
2345,services,secondary,cellular
2346,entrepreneur,tertiary,unknown
2347,management,tertiary,unknown
2348,management,tertiary,cellular
2349,technician,secondary,unknown
2350,technician,secondary,cellular
2351,unknown,unknown,unknown
2352,admin.,secondary,unknown
2353,management,secondary,cellular
2354,management,secondary,cellular
2355,services,secondary,cellular
2356,services,secondary,unknown
2357,student,secondary,cellular
2358,blue-collar,primary,cellular
2359,services,secondary,cellular
2360,blue-collar,primary,cellular
2361,services,secondary,unknown
2362,management,secondary,cellular
2363,management,tertiary,cellular
2364,blue-collar,secondary,cellular
2365,admin.,secondary,cellular
2366,services,secondary,cellular
2367,management,unknown,unknown
2368,services,secondary,cellular
2369,entrepreneur,secondary,unknown
2370,technician,secondary,cellular
2371,management,tertiary,unknown
2372,services,secondary,cellular
2373,blue-collar,secondary,cellular
2374,blue-collar,secondary,unknown
2375,unemployed,secondary,cellular
2376,services,secondary,unknown
2377,technician,secondary,cellular
2378,blue-collar,secondary,telephone
2379,blue-collar,secondary,cellular
2380,technician,secondary,cellular
2381,unemployed,secondary,cellular
2382,management,tertiary,cellular
2383,student,secondary,cellular
2384,management,tertiary,cellular
2385,services,secondary,cellular
2386,technician,tertiary,unknown
2387,blue-collar,primary,telephone
2388,admin.,secondary,cellular
2389,technician,tertiary,unknown
2390,retired,secondary,unknown
2391,management,tertiary,cellular
2392,management,tertiary,unknown
2393,entrepreneur,secondary,cellular
2394,unknown,secondary,cellular
2395,services,secondary,cellular
2396,management,tertiary,cellular
2397,blue-collar,primary,unknown
2398,entrepreneur,secondary,cellular
2399,retired,secondary,cellular
2400,self-employed,secondary,unknown
2401,management,tertiary,telephone
2402,management,primary,telephone
2403,technician,secondary,telephone
2404,entrepreneur,primary,cellular
2405,technician,secondary,cellular
2406,services,secondary,telephone
2407,services,primary,unknown
2408,blue-collar,secondary,cellular
2409,admin.,secondary,cellular
2410,housemaid,tertiary,cellular
2411,technician,secondary,cellular
2412,housemaid,primary,unknown
2413,services,secondary,cellular
2414,technician,secondary,cellular
2415,management,tertiary,cellular
2416,management,tertiary,unknown
2417,management,tertiary,cellular
2418,technician,tertiary,cellular
2419,blue-collar,secondary,cellular
2420,self-employed,tertiary,cellular
2421,management,tertiary,cellular
2422,blue-collar,primary,cellular
2423,entrepreneur,secondary,unknown
2424,management,tertiary,cellular
2425,unemployed,secondary,cellular
2426,blue-collar,secondary,cellular
2427,technician,tertiary,cellular
2428,services,secondary,unknown
2429,student,secondary,cellular
2430,technician,secondary,cellular
2431,unemployed,secondary,cellular
2432,technician,tertiary,cellular
2433,retired,primary,cellular
2434,admin.,secondary,cellular
2435,management,tertiary,cellular
2436,technician,secondary,cellular
2437,admin.,secondary,cellular
2438,management,tertiary,cellular
2439,blue-collar,secondary,unknown
2440,technician,tertiary,cellular
2441,admin.,secondary,unknown
2442,technician,secondary,unknown
2443,technician,tertiary,cellular
2444,management,secondary,cellular
2445,housemaid,tertiary,cellular
2446,blue-collar,secondary,cellular
2447,blue-collar,primary,cellular
2448,student,tertiary,cellular
2449,management,tertiary,cellular
2450,blue-collar,primary,unknown
2451,admin.,secondary,cellular
2452,management,tertiary,cellular
2453,management,tertiary,cellular
2454,technician,tertiary,cellular
2455,unemployed,secondary,unknown
2456,technician,primary,unknown
2457,unemployed,secondary,cellular
2458,admin.,secondary,telephone
2459,housemaid,primary,telephone
2460,blue-collar,primary,cellular
2461,services,secondary,cellular
2462,services,tertiary,unknown
2463,blue-collar,unknown,unknown
2464,technician,tertiary,unknown
2465,unemployed,primary,unknown
2466,self-employed,secondary,cellular
2467,services,secondary,cellular
2468,admin.,secondary,unknown
2469,retired,primary,cellular
2470,technician,tertiary,cellular
2471,student,secondary,cellular
2472,admin.,secondary,cellular
2473,technician,tertiary,cellular
2474,management,tertiary,cellular
2475,admin.,secondary,unknown
2476,technician,secondary,unknown
2477,unknown,primary,cellular
2478,admin.,secondary,cellular
2479,technician,secondary,cellular
2480,admin.,secondary,cellular
2481,management,tertiary,cellular
2482,housemaid,secondary,cellular
2483,blue-collar,secondary,unknown
2484,self-employed,tertiary,cellular
2485,management,tertiary,cellular
2486,unknown,unknown,cellular
2487,unknown,tertiary,cellular
2488,technician,secondary,unknown
2489,retired,primary,cellular
2490,admin.,secondary,cellular
2491,retired,primary,cellular
2492,management,tertiary,unknown
2493,technician,secondary,cellular
2494,admin.,secondary,cellular
2495,self-employed,tertiary,unknown
2496,management,tertiary,cellular
2497,blue-collar,primary,unknown
2498,blue-collar,secondary,cellular
2499,management,tertiary,telephone
2500,student,tertiary,cellular
2501,retired,secondary,unknown
2502,admin.,secondary,cellular
2503,management,tertiary,cellular
2504,blue-collar,secondary,cellular
2505,management,tertiary,cellular
2506,admin.,secondary,cellular
2507,unemployed,secondary,cellular
2508,student,unknown,telephone
2509,blue-collar,primary,unknown
2510,retired,secondary,unknown
2511,retired,primary,cellular
2512,housemaid,primary,unknown
2513,blue-collar,primary,unknown
2514,technician,unknown,unknown
2515,admin.,secondary,cellular
2516,management,tertiary,cellular
2517,blue-collar,unknown,unknown
2518,technician,secondary,cellular
2519,technician,tertiary,cellular
2520,management,tertiary,unknown
2521,unemployed,secondary,cellular
2522,blue-collar,secondary,cellular
2523,management,tertiary,unknown
2524,blue-collar,secondary,cellular
2525,blue-collar,unknown,cellular
2526,management,tertiary,cellular
2527,services,secondary,unknown
2528,blue-collar,secondary,unknown
2529,management,tertiary,unknown
2530,management,tertiary,cellular
2531,retired,unknown,telephone
2532,unemployed,secondary,telephone
2533,management,tertiary,cellular
2534,housemaid,primary,cellular
2535,student,tertiary,cellular
2536,entrepreneur,primary,cellular
2537,blue-collar,primary,cellular
2538,management,secondary,unknown
2539,technician,secondary,cellular
2540,management,tertiary,cellular
2541,self-employed,unknown,cellular
2542,admin.,secondary,cellular
2543,management,tertiary,cellular
2544,admin.,primary,cellular
2545,management,secondary,unknown
2546,services,secondary,unknown
2547,management,secondary,cellular
2548,blue-collar,unknown,cellular
2549,management,tertiary,cellular
2550,management,tertiary,unknown
2551,management,secondary,cellular
2552,services,secondary,unknown
2553,management,tertiary,cellular
2554,blue-collar,secondary,cellular
2555,unemployed,tertiary,cellular
2556,admin.,secondary,cellular
2557,technician,secondary,cellular
2558,retired,primary,cellular
2559,technician,secondary,unknown
2560,blue-collar,secondary,cellular
2561,admin.,secondary,cellular
2562,admin.,secondary,cellular
2563,admin.,secondary,cellular
2564,technician,secondary,cellular
2565,blue-collar,unknown,cellular
2566,student,unknown,cellular
2567,blue-collar,secondary,unknown
2568,retired,secondary,cellular
2569,technician,secondary,unknown
2570,technician,secondary,unknown
2571,blue-collar,secondary,cellular
2572,admin.,secondary,cellular
2573,blue-collar,secondary,unknown
2574,services,secondary,unknown
2575,blue-collar,secondary,unknown
2576,services,secondary,cellular
2577,blue-collar,primary,unknown
2578,technician,secondary,cellular
2579,management,tertiary,unknown
2580,services,secondary,unknown
2581,management,tertiary,unknown
2582,blue-collar,secondary,cellular
2583,technician,tertiary,cellular
2584,management,tertiary,cellular
2585,management,primary,unknown
2586,blue-collar,secondary,unknown
2587,management,tertiary,unknown
2588,management,tertiary,cellular
2589,entrepreneur,tertiary,unknown
2590,services,secondary,cellular
2591,management,tertiary,cellular
2592,technician,secondary,cellular
2593,management,secondary,unknown
2594,admin.,secondary,cellular
2595,services,secondary,cellular
2596,technician,secondary,cellular
2597,blue-collar,primary,unknown
2598,blue-collar,primary,cellular
2599,management,tertiary,cellular
2600,management,tertiary,unknown
2601,management,tertiary,cellular
2602,blue-collar,primary,unknown
2603,management,tertiary,cellular
2604,management,unknown,cellular
2605,management,primary,unknown
2606,technician,unknown,unknown
2607,blue-collar,primary,cellular
2608,retired,secondary,cellular
2609,management,primary,unknown
2610,entrepreneur,tertiary,cellular
2611,blue-collar,secondary,cellular
2612,entrepreneur,tertiary,cellular
2613,admin.,secondary,cellular
2614,technician,tertiary,cellular
2615,blue-collar,secondary,cellular
2616,unemployed,tertiary,cellular
2617,services,secondary,cellular
2618,services,secondary,cellular
2619,services,secondary,cellular
2620,technician,secondary,cellular
2621,blue-collar,unknown,unknown
2622,admin.,secondary,cellular
2623,self-employed,primary,cellular
2624,entrepreneur,tertiary,unknown
2625,blue-collar,primary,cellular
2626,blue-collar,primary,unknown
2627,technician,secondary,telephone
2628,blue-collar,secondary,unknown
2629,unemployed,primary,cellular
2630,retired,primary,cellular
2631,admin.,secondary,cellular
2632,management,primary,cellular
2633,management,tertiary,cellular
2634,housemaid,primary,unknown
2635,technician,secondary,cellular
2636,services,secondary,unknown
2637,self-employed,secondary,cellular
2638,blue-collar,primary,cellular
2639,management,tertiary,cellular
2640,admin.,tertiary,cellular
2641,retired,secondary,cellular
2642,blue-collar,primary,unknown
2643,retired,secondary,telephone
2644,management,tertiary,cellular
2645,blue-collar,primary,cellular
2646,management,tertiary,unknown
2647,management,tertiary,unknown
2648,blue-collar,secondary,cellular
2649,blue-collar,secondary,cellular
2650,services,secondary,unknown
2651,management,secondary,unknown
2652,entrepreneur,secondary,telephone
2653,blue-collar,secondary,cellular
2654,management,tertiary,cellular
2655,technician,secondary,cellular
2656,technician,secondary,cellular
2657,services,secondary,unknown
2658,admin.,secondary,unknown
2659,admin.,secondary,cellular
2660,unemployed,secondary,unknown
2661,retired,primary,cellular
2662,admin.,secondary,telephone
2663,entrepreneur,unknown,unknown
2664,admin.,unknown,cellular
2665,student,tertiary,cellular
2666,management,tertiary,cellular
2667,blue-collar,secondary,unknown
2668,management,tertiary,unknown
2669,housemaid,primary,telephone
2670,admin.,secondary,cellular
2671,management,tertiary,cellular
2672,services,secondary,unknown
2673,self-employed,tertiary,cellular
2674,management,tertiary,cellular
2675,management,tertiary,cellular
2676,blue-collar,primary,cellular
2677,retired,primary,telephone
2678,retired,secondary,cellular
2679,services,secondary,unknown
2680,admin.,primary,unknown
2681,blue-collar,secondary,cellular
2682,services,secondary,unknown
2683,housemaid,primary,cellular
2684,blue-collar,secondary,unknown
2685,admin.,secondary,cellular
2686,blue-collar,secondary,telephone
2687,technician,secondary,cellular
2688,services,secondary,unknown
2689,management,tertiary,cellular
2690,blue-collar,primary,cellular
2691,blue-collar,secondary,cellular
2692,management,tertiary,telephone
2693,admin.,secondary,cellular
2694,management,tertiary,cellular
2695,technician,tertiary,cellular
2696,management,tertiary,cellular
2697,management,tertiary,cellular
2698,management,tertiary,cellular
2699,blue-collar,primary,cellular
2700,retired,tertiary,cellular
2701,technician,secondary,cellular
2702,housemaid,secondary,telephone
2703,student,unknown,unknown
2704,housemaid,secondary,telephone
2705,blue-collar,secondary,unknown
2706,management,unknown,unknown
2707,management,tertiary,cellular
2708,management,tertiary,cellular
2709,management,tertiary,cellular
2710,services,secondary,unknown
2711,unknown,unknown,cellular
2712,self-employed,primary,unknown
2713,technician,tertiary,cellular
2714,technician,tertiary,telephone
2715,management,tertiary,cellular
2716,housemaid,tertiary,cellular
2717,technician,tertiary,cellular
2718,services,secondary,cellular
2719,technician,secondary,cellular
2720,management,secondary,cellular
2721,blue-collar,primary,unknown
2722,blue-collar,secondary,cellular
2723,technician,tertiary,cellular
2724,services,unknown,unknown
2725,technician,secondary,cellular
2726,management,secondary,cellular
2727,blue-collar,primary,cellular
2728,admin.,secondary,cellular
2729,blue-collar,tertiary,unknown
2730,self-employed,secondary,unknown
2731,blue-collar,secondary,cellular
2732,technician,primary,unknown
2733,technician,secondary,cellular
2734,services,secondary,cellular
2735,entrepreneur,tertiary,cellular
2736,unknown,secondary,cellular
2737,blue-collar,secondary,cellular
2738,technician,tertiary,cellular
2739,technician,secondary,cellular
2740,unemployed,secondary,cellular
2741,technician,secondary,unknown
2742,blue-collar,secondary,cellular
2743,technician,secondary,cellular
2744,unemployed,primary,unknown
2745,management,tertiary,cellular
2746,technician,secondary,cellular
2747,technician,secondary,unknown
2748,blue-collar,secondary,cellular
2749,technician,secondary,cellular
2750,entrepreneur,tertiary,telephone
2751,technician,secondary,cellular
2752,blue-collar,primary,unknown
2753,management,tertiary,unknown
2754,blue-collar,secondary,unknown
2755,services,secondary,cellular
2756,blue-collar,primary,unknown
2757,retired,unknown,unknown
2758,admin.,tertiary,cellular
2759,blue-collar,secondary,cellular
2760,management,secondary,cellular
2761,blue-collar,secondary,unknown
2762,management,tertiary,cellular
2763,services,tertiary,telephone
2764,blue-collar,secondary,cellular
2765,retired,secondary,cellular
2766,retired,tertiary,cellular
2767,self-employed,secondary,unknown
2768,services,secondary,unknown
2769,admin.,secondary,cellular
2770,management,tertiary,telephone
2771,unemployed,secondary,telephone
2772,management,tertiary,cellular
2773,management,tertiary,telephone
2774,self-employed,tertiary,unknown
2775,blue-collar,secondary,unknown
2776,management,primary,cellular
2777,services,secondary,cellular
2778,blue-collar,secondary,cellular
2779,management,secondary,cellular
2780,student,secondary,cellular
2781,blue-collar,secondary,cellular
2782,technician,secondary,unknown
2783,technician,tertiary,cellular
2784,technician,secondary,cellular
2785,technician,secondary,unknown
2786,blue-collar,secondary,unknown
2787,management,secondary,cellular
2788,services,secondary,telephone
2789,admin.,tertiary,cellular
2790,technician,secondary,unknown
2791,technician,secondary,unknown
2792,blue-collar,secondary,unknown
2793,services,unknown,unknown
2794,blue-collar,secondary,unknown
2795,technician,tertiary,cellular
2796,admin.,secondary,cellular
2797,management,tertiary,unknown
2798,blue-collar,secondary,unknown
2799,management,tertiary,cellular
2800,technician,secondary,unknown
2801,technician,tertiary,cellular
2802,blue-collar,secondary,unknown
2803,services,secondary,unknown
2804,admin.,secondary,cellular
2805,unknown,primary,cellular
2806,blue-collar,secondary,cellular
2807,admin.,unknown,cellular
2808,entrepreneur,secondary,cellular
2809,retired,primary,cellular
2810,technician,secondary,unknown
2811,blue-collar,primary,cellular
2812,admin.,secondary,telephone
2813,technician,secondary,cellular
2814,technician,tertiary,cellular
2815,technician,secondary,cellular
2816,technician,tertiary,unknown
2817,blue-collar,secondary,unknown
2818,entrepreneur,secondary,cellular
2819,admin.,secondary,cellular
2820,management,tertiary,cellular
2821,technician,secondary,telephone
2822,entrepreneur,tertiary,cellular
2823,technician,secondary,cellular
2824,management,tertiary,cellular
2825,blue-collar,primary,unknown
2826,management,tertiary,cellular
2827,services,secondary,telephone
2828,technician,secondary,cellular
2829,blue-collar,secondary,unknown
2830,admin.,secondary,cellular
2831,admin.,tertiary,cellular
2832,management,tertiary,telephone
2833,retired,unknown,unknown
2834,housemaid,primary,cellular
2835,management,tertiary,cellular
2836,self-employed,tertiary,unknown
2837,blue-collar,secondary,cellular
2838,technician,secondary,telephone
2839,housemaid,secondary,unknown
2840,services,secondary,unknown
2841,technician,tertiary,cellular
2842,management,primary,telephone
2843,management,tertiary,cellular
2844,admin.,secondary,unknown
2845,management,tertiary,cellular
2846,blue-collar,primary,cellular
2847,technician,secondary,cellular
2848,retired,secondary,cellular
2849,self-employed,secondary,cellular
2850,entrepreneur,tertiary,cellular
2851,technician,tertiary,cellular
2852,management,tertiary,cellular
2853,technician,secondary,cellular
2854,technician,secondary,cellular
2855,management,tertiary,cellular
2856,management,tertiary,cellular
2857,services,secondary,telephone
2858,management,secondary,cellular
2859,blue-collar,primary,cellular
2860,management,tertiary,cellular
2861,management,tertiary,unknown
2862,technician,tertiary,cellular
2863,management,tertiary,unknown
2864,blue-collar,primary,cellular
2865,housemaid,secondary,cellular
2866,admin.,secondary,cellular
2867,unemployed,tertiary,cellular
2868,services,secondary,cellular
2869,services,secondary,telephone
2870,retired,primary,cellular
2871,management,tertiary,cellular
2872,retired,tertiary,cellular
2873,management,tertiary,unknown
2874,blue-collar,secondary,cellular
2875,technician,secondary,unknown
2876,blue-collar,secondary,cellular
2877,admin.,primary,cellular
2878,services,secondary,cellular
2879,housemaid,primary,cellular
2880,management,secondary,telephone
2881,services,tertiary,cellular
